dataset,metric,relative_gain
WARC,ap,0.06224441185347099
WARC,auc,0.013909188346487678
WARC,lag,0.08182860418458023
Drone,ap,0.18147352885088522
Drone,auc,0.12644510065790998
Drone,lag,0.19509278421005388
EasyClinic,ap,0.06667531565757007
EasyClinic,auc,0.05440560251212942
EasyClinic,lag,0.1706558008213553
TrainController,ap,0.21584367686624875
TrainController,auc,0.20832760452866037
TrainController,lag,0.258011355185446
EBT,ap,0.03324907563383538
EBT,auc,0.04067734307034405
EBT,lag,0.10206380677721703
