Dataset,Metric,RelativeGain,Correlation,PValue
Drone,AP,4.375,0.996,<0.001
Drone,AUC,0.631,0.995,<0.001
Drone,LAG,1.0,0.995,<0.001
Traincontroller,AP,3.141,0.997,<0.001
Traincontroller,AUC,0.864,0.995,<0.001
Traincontroller,LAG,1.0,0.995,<0.001
Easyclinic,AP,0.57,0.993,<0.001
Easyclinic,AUC,0.319,0.991,<0.001
Easyclinic,LAG,1.0,0.991,<0.001
Ebt,AP,0.411,0.994,<0.001
Ebt,AUC,0.427,0.994,<0.001
Ebt,LAG,1.0,0.994,<0.001
Warc,AP,0.863,0.984,<0.001
Warc,AUC,0.129,0.979,<0.001
Warc,LAG,0.731,0.979,<0.001
